un,a,article
el,the,article
yo,I,pronoun
él,he,pronoun
tú,you,pronoun
ella,she,pronoun
ellos,they,pronoun
nosotros,we,pronoun
eso,it,pronoun
yo,me,pronoun
él,him,pronoun
ellos,them,pronoun
nosotros,us,pronoun
esos,those,pronoun
tu,your,possessive
mi,my,possessive
su,his,possessive
su,her,possessive
ella,her,pronoun
su,their,possessive
y,and,conjunction
o,or,conjunction
con,with,conjunction
pero,but,conjunction
porque,because,conjunction
aunque,although,conjunction
pues,then,conjunction
excepto,except,conjunction
en,in,preposition
a,to,preposition
en,on,preposition
en,at,preposition
para,for,preposition
de,of,preposition
de,from,preposition
entre,between,preposition
sin,without,preposition
sobre,about,preposition
no,not,negation
es,is,verb
son,are,verb
soy,am,verb
caminando,walking,verb
viendo,watching,verb
viendo,seeing,verb
llamando,calling,verb
escuchando,hearing,verb
escuchando,listening,verb
intendando,trying,verb
trabajando,working,verb
comiendo,eating,verb
escribiendo,writing,verb
dando,giving,verb
estudiando,studying,verb
haciendo,doing,verb
durmiendo,sleeping,verb
leyendo,reading,verb
buscando,searching,verb
encontrando,finding,verb
pensando,thinking,verb
sabiendo,knowing,verb
deseando,wanting,verb
usando,using,verb
jugando,playing,verb
hablando,talking,verb
hablando,speaking,verb
regalo,gift,noun
rosa,rose,noun
gato,cat,noun
perro,dog,noun
árbol,tree,noun
fruta,fruit,noun
manzana,apple,noun
gracias,thanks,noun
iglesia,church,noun
hora,hour,noun
tiempo,time,noun
año,year,noun
gente,people,noun
camino,way,noun
día,day,noun
hombre,man,noun
cosa,thing,noun
mujer,woman,noun
vida,life,noun
niño,child,noun
mundo,world,noun
colegio,school,noun
estado,state,noun
familia,family,noun
estudiante,student,noun
grupo,group,noun
país,country,noun
problema,problem,noun
mano,hand,noun
parte,part,noun
lugar,place,noun
caso,case,noun
semana,week,noun
empresa,company,noun
sistema,system,noun
programa,program,noun
pregunta,question,noun
trabajo,work,noun
gobierno,government,noun
número,number,noun
noche,night,noun
punto,point,noun
casa,home,noun
agua,water,noun
habitación,room,noun
madre,mother,noun
zona,area,noun
dinero,money,noun
historia,story,noun
hecho,fact,noun
mes,month,noun
mucho,lot,noun
derecho,right,noun
libro,book,noun
ojo,eye,noun
trabajo,job,noun
palabra,word,noun
negocio,business,noun
problema,issue,noun
lado,side,noun
tipo,kind,noun
cabeza,head,noun
casa,house,noun
servicio,service,noun
amigo,friend,noun
padre,father,noun
poder,power,noun
juego,game,noun
línea,line,noun
fin,end,noun
miembro,member,noun
ley,law,noun
coche,car,noun
ciudad,city,noun
comunidad,community,noun
nombre,name,noun
presidente,president,noun
equipo,team,noun
minuto,minute,noun
idea,idea,noun
niño,kid,noun
cuerpo,body,noun
información,information,noun
espalda,back,noun
cara,face,noun
otro,other,noun
nivel,level,noun
oficina,office,noun
puerta,door,noun
salud,health,noun
persona,person,noun
art,art,noun
guerra,war,noun
historia,history,noun
fiesta,party,noun
resultado,result,noun
cambio,change,noun
mañana,morning,noun
razón,reason,noun
investigación,research,noun
niña,girl,noun
chico,guy,noun
momento,moment,noun
aire,air,noun
profesor,teacher,noun
fuerza,force,noun
educación,education,noun
favorito,favourite,adjective
rojo,red,adjective
hermoso,beautiful,adjective
verde,green,adjective
negro,black,adjective
blanco,white,adjective
bueno,good,adjective
malo,bad,adjective
grande,big,adjective
amargo,bitter,adjective
aburrido,boring,adjective
tranquilo,calm,adjective
barato,cheap,adjective
claro,clear,adjective
frío,cold,adjective
complicado,complicated,adjective
curioso,curious,adjective
oscuro,dark,adjective
difícil,difficult,adjective
aplicado,diligent,adjective
sucio,dirty,adjective
seco,dry,adjective
fácil,easy,adjective
vacío,empty,adjective
divertido,entertaining,adjective
caro,expensive,adjective
justo,fair,adjective
gordo,fat,adjective
poco,few,adjective
lleno,full,adjective
feliz,happy,adjective
duro,hard,adjective
sano,healthy,adjective
honesto,honest,adjective
interesante,interesting,adjective
perezoso,lazy,adjective
flaco,lean,adjective
largo,long,adjective
bajo,low,adjective
modesto,modest,adjective
mucho,much,adjective
estrecho,narrow,adjective
nervioso,nervous,adjective
nuevo,new,adjective
viejo,old,adjective
cortés,polite,adjective
pobre,poor,adjective
guapo,handsome,adjective
puro,pure,adjective
rápido,quick,adjective
rico,rich,adjective
triste,sad,adjective
salado,salty,adjective
corto,short,adjective
enfermo,sick,adjective
sencillo,simple,adjective
lento,slow,adjective
pequeño,small,adjective
fuerte,strong,adjective
tonto,stupid,adjective
dulce,sweet,adjective
alto,tall,adjective
grueso,thick,adjective
delgado,thin,adjective
cansado,tired,adjective
feo,ugly,adjective
injusto,unfair,adjective
caliente,warm,adjective
débil,weak,adjective
ancho,wide,adjective
joven,young,adjective
